order_id,store_id,product_id,quantity,sale_date
1,67,121,1,2023-05-02 07:26:00
1,21,624,9,2023-09-07 09:48:00
1,46,871,7,2023-10-08 18:22:00
1,17,838,3,2023-10-13 18:03:00
1,34,49,10,2023-12-29 04:19:00
1,28,822,3,2024-03-25 14:52:00
1,72,23,3,2024-07-25 16:48:00
1,67,183,4,2024-12-18 11:15:00
2,27,660,5,2023-01-02 13:00:00
2,17,624,6,2023-01-17 08:35:00
2,18,3,6,2023-06-18 10:16:00
2,80,510,3,2023-07-26 01:01:00
2,99,310,5,2023-09-08 08:07:00
2,93,635,9,2024-06-19 19:59:00
2,81,972,3,2024-06-29 16:00:00
2,38,452,6,2024-09-18 11:36:00
2,22,850,7,2024-10-02 14:58:00
2,7,503,1,2024-12-04 14:13:00
3,78,135,3,2023-07-15 17:04:00
3,37,526,6,2023-09-29 19:48:00
3,28,892,6,2023-12-24 19:03:00
3,34,44,2,2024-02-23 21:06:00
4,47,462,8,2023-06-05 08:50:00
4,85,792,7,2023-06-06 01:46:00
4,17,668,9,2023-06-23 08:31:00
4,49,626,7,2023-07-13 16:46:00
4,5,103,8,2023-08-10 02:27:00
4,22,952,5,2024-01-14 16:48:00
4,26,444,4,2024-02-05 01:12:00
4,69,358,6,2024-08-30 17:18:00
5,3,746,8,2023-04-10 23:09:00
5,88,169,7,2023-11-04 23:18:00
5,71,826,5,2023-12-26 18:34:00
5,32,253,5,2024-02-19 16:37:00
6,83,626,7,2023-01-29 10:53:00
6,94,696,7,2023-06-26 02:43:00
6,43,115,10,2023-09-20 20:28:00
6,73,958,4,2023-09-22 10:32:00
6,2,920,5,2023-10-15 21:27:00
6,89,641,2,2023-11-14 14:42:00
6,10,381,7,2024-02-02 01:08:00
6,72,961,6,2024-02-13 16:09:00
6,72,569,4,2024-02-23 03:31:00
6,2,386,4,2024-06-12 12:27:00
6,86,140,2,2024-10-17 19:07:00
7,47,629,1,2023-02-04 05:39:00
7,12,883,10,2023-04-05 21:52:00
7,95,981,3,2023-04-11 18:52:00
7,23,630,9,2023-05-24 19:22:00
7,10,346,6,2023-10-24 08:27:00
7,38,288,3,2023-11-10 02:31:00
7,2,884,7,2024-04-22 19:05:00
7,48,669,1,2024-04-23 19:50:00
7,15,261,1,2024-10-22 23:25:00
7,81,446,5,2024-10-31 00:02:00
7,76,174,3,2024-11-25 23:17:00
7,27,499,10,2024-12-29 11:24:00
8,56,750,4,2023-03-03 20:21:00
8,91,872,10,2024-06-11 03:56:00
9,30,520,3,2023-04-13 05:19:00
9,48,176,5,2023-12-24 18:31:00
9,10,860,6,2024-01-23 00:54:00
9,54,232,5,2024-02-08 01:03:00
9,30,762,7,2024-03-27 19:50:00
9,70,813,8,2024-04-07 05:01:00
9,80,88,4,2024-08-22 00:03:00
9,11,341,7,2024-11-10 05:59:00
10,94,739,7,2023-10-15 13:18:00
10,47,622,4,2024-03-31 21:43:00
10,32,581,6,2024-07-25 03:46:00
10,46,863,5,2024-08-11 13:13:00
11,39,401,6,2023-03-26 18:46:00
11,77,268,7,2023-10-07 20:15:00
11,82,583,5,2024-01-28 21:58:00
11,41,315,4,2024-02-14 05:56:00
