,date,store_number,item_number,quantity,order_number
0,2023-05-02 07:26:00,67,121,1,1
1,2023-09-07 09:48:00,21,624,9,1
2,2023-10-08 18:22:00,46,871,7,1
3,2023-10-13 18:03:00,17,838,3,1
4,2023-12-29 04:19:00,34,49,10,1
5,2024-03-25 14:52:00,28,822,3,1
6,2024-07-25 16:48:00,72,23,3,1
7,2024-12-18 11:15:00,67,183,4,1
8,2023-01-02 13:00:00,27,660,5,2
9,2023-01-17 08:35:00,17,624,6,2
10,2023-06-18 10:16:00,18,3,6,2
11,2023-07-26 01:01:00,80,510,3,2
12,2023-09-08 08:07:00,99,310,5,2
13,2024-06-19 19:59:00,93,635,9,2
14,2024-06-29 16:00:00,81,972,3,2
15,2024-09-18 11:36:00,38,452,6,2
16,2024-10-02 14:58:00,22,850,7,2
17,2024-12-04 14:13:00,7,503,1,2
18,2023-07-15 17:04:00,78,135,3,3
19,2023-09-29 19:48:00,37,526,6,3
20,2023-12-24 19:03:00,28,892,6,3
21,2024-02-23 21:06:00,34,44,2,3
22,2023-06-05 08:50:00,47,462,8,4
23,2023-06-06 01:46:00,85,792,7,4
24,2023-06-23 08:31:00,17,668,9,4
25,2023-07-13 16:46:00,49,626,7,4
26,2023-08-10 02:27:00,5,103,8,4
27,2024-01-14 16:48:00,22,952,5,4
28,2024-02-05 01:12:00,26,444,4,4
29,2024-08-30 17:18:00,69,358,6,4
30,2023-04-10 23:09:00,3,746,8,5
31,2023-11-04 23:18:00,88,169,7,5
32,2023-12-26 18:34:00,71,826,5,5
33,2024-02-19 16:37:00,32,253,5,5
34,2023-01-29 10:53:00,83,626,7,6
35,2023-06-26 02:43:00,94,696,7,6
36,2023-09-20 20:28:00,43,115,10,6
37,2023-09-22 10:32:00,73,958,4,6
38,2023-10-15 21:27:00,2,920,5,6
39,2023-11-14 14:42:00,89,641,2,6
40,2024-02-02 01:08:00,10,381,7,6
41,2024-02-13 16:09:00,72,961,6,6
42,2024-02-23 03:31:00,72,569,4,6
43,2024-06-12 12:27:00,2,386,4,6
44,2024-10-17 19:07:00,86,140,2,6
45,2023-02-04 05:39:00,47,629,1,7
46,2023-04-05 21:52:00,12,883,10,7
47,2023-04-11 18:52:00,95,981,3,7
48,2023-05-24 19:22:00,23,630,9,7
49,2023-10-24 08:27:00,10,346,6,7
50,2023-11-10 02:31:00,38,288,3,7
51,2024-04-22 19:05:00,2,884,7,7
52,2024-04-23 19:50:00,48,669,1,7
53,2024-10-22 23:25:00,15,261,1,7
54,2024-10-31 00:02:00,81,446,5,7
55,2024-11-25 23:17:00,76,174,3,7
56,2024-12-29 11:24:00,27,499,10,7
57,2023-03-03 20:21:00,56,750,4,8
58,2024-06-11 03:56:00,91,872,10,8
59,2023-04-13 05:19:00,30,520,3,9
60,2023-12-24 18:31:00,48,176,5,9
61,2024-01-23 00:54:00,10,860,6,9
62,2024-02-08 01:03:00,54,232,5,9
63,2024-03-27 19:50:00,30,762,7,9
64,2024-04-07 05:01:00,70,813,8,9
65,2024-08-22 00:03:00,80,88,4,9
66,2024-11-10 05:59:00,11,341,7,9
67,2023-10-15 13:18:00,94,739,7,10
68,2024-03-31 21:43:00,47,622,4,10
69,2024-07-25 03:46:00,32,581,6,10
70,2024-08-11 13:13:00,46,863,5,10
71,2023-03-26 18:46:00,39,401,6,11
72,2023-10-07 20:15:00,77,268,7,11
73,2024-01-28 21:58:00,82,583,5,11
74,2024-02-14 05:56:00,41,315,4,11
75,2024-05-09 00:39:00,15,156,6,11
76,2024-06-22 07:57:00,41,874,4,11
77,2024-08-09 22:33:00,46,331,1,11
78,2024-08-27 12:48:00,25,770,6,11
79,2024-12-04 19:28:00,38,590,4,11
80,2023-01-19 21:47:00,15,298,4,12
81,2023-08-11 15:30:00,29,598,5,12
82,2024-02-19 04:37:00,86,999,6,12
83,2024-09-05 02:45:00,6,893,10,12
84,2024-11-04 23:04:00,77,674,6,12
85,2023-02-17 05:03:00,8,107,8,13
86,2023-02-24 17:13:00,52,888,2,13
87,2023-05-16 11:06:00,79,940,8,13
88,2023-06-27 10:44:00,44,50,8,13
89,2023-07-22 09:17:00,28,510,1,13
90,2023-07-24 02:07:00,37,131,9,13
91,2023-07-28 20:24:00,25,438,10,13
92,2023-12-15 12:55:00,7,927,10,13
93,2024-09-15 18:03:00,90,550,7,13
94,2024-11-11 22:48:00,13,436,6,13
95,2023-03-01 04:23:00,36,310,8,14
96,2023-08-31 19:16:00,15,777,1,14
97,2023-10-25 22:54:00,30,877,4,14
98,2023-11-29 05:38:00,8,49,1,14
99,2023-11-30 13:19:00,89,136,5,14
100,2024-09-19 09:07:00,32,566,5,14
101,2024-09-25 23:58:00,15,416,8,14
102,2024-10-03 01:57:00,44,280,5,14
103,2023-04-01 21:02:00,81,824,7,15
104,2023-05-11 15:10:00,12,330,8,15
105,2024-05-20 19:24:00,86,611,2,15
106,2024-06-18 12:05:00,51,763,9,15
107,2023-02-01 09:38:00,65,796,6,16
108,2023-03-26 15:19:00,81,980,7,16
109,2023-04-01 07:23:00,6,641,7,16
110,2023-08-29 09:10:00,49,129,10,16
111,2023-10-07 15:14:00,38,954,2,16
112,2023-11-17 21:06:00,57,946,9,16
113,2023-12-22 23:36:00,73,505,10,16
114,2024-02-21 03:27:00,97,794,10,16
115,2024-05-31 00:50:00,34,273,9,16
116,2024-06-14 21:07:00,61,583,9,16
117,2024-08-01 00:20:00,20,813,1,16
118,2024-08-11 10:45:00,67,312,3,16
119,2024-12-25 13:29:00,37,722,3,16
120,2024-09-07 05:29:00,28,260,8,17
